Projection, Label
1.195500604653E8 4
1.446050453622E8 4
2.707950676482999E8 4
1.874876253875E8 4
1.2483272894679998E8 4
2.695615771427E8 4
1.609453904671E8 4
1.2951531859930001E8 4
1.75519174014E8 4
1.215880185542E8 4
1.650596016728E8 4
2.2506365361739996E8 4
2.4366160589940003E8 4
1.1359216378349999E8 4
8.8760745883E7 4
1.4749321667219996E8 4
1.5192070328850004E8 4
1.119048473256E8 4
1.3055656780750002E8 4
2.2612690865069997E8 4
1.09644965988E8 4
1.6036706372540003E8 4
1.637438575176E8 4
8.438132307279998E7 4
1.5358198010259998E8 4
1.8418528896739998E8 4
1.896091129308E8 4
1.9542781531620002E8 4
1.7168798257790002E8 4
1.2478990056039998E8 5
3.245201362869E8 5
9.04948979112E7 5
1.380727101665E8 5
5.49372122205E7 5
1.6548906896980003E8 5
2.6582205850640002E8 5
6.5228640138900004E7 5
1.2393645228040001E8 5
4.46038004749E7 5
1.164043510217E8 5
1.434522563191E8 5
7.46996277463E7 5
2.011769503844E8 5
1.2312389980900002E8 5
1.9913697389490005E8 5
9.476951061170003E7 5
1.1382585270469998E8 5
1.0725074666690001E8 5
1.0427540302449998E8 5
1.488867874596E8 5
1.7606911579509997E8 5
1.8732573242020002E8 5
9.74398366565E7 5
1.71653833039E8 5
2.0478556895449993E8 5
9.520197181153724E7 4
1.0449694092530432E8 4
2.0969969621973643E8 4
2.0364948408604887E8 4
1.5900045820228145E8 4
1.8618419721599668E8 4
1.6490179249375188E8 4
1.2389221508990358E8 4
1.2623845891985466E8 4
1.4313574317469895E8 4
1.638766106770609E8 4
3.3286243610329217E8 4
2.729714235350624E8 4
1.0188332725442979E8 4
8.475561576672304E7 4
1.6102657002650192E8 4
1.439508116825958E8 4
5.7275715329514496E7 4
2.174495319651324E8 4
1.600315384730864E8 4
1.8513562858254665E8 4
2.3872544675287175E8 4
1.8349039016759422E8 4
6.92832249723644E7 4
3.067306273507095E8 4
2.537665878088158E8 4
1.099009012770422E8 4
1.639710851703492E8 4
2.2131472966334584E8 4
4.033830318453769E8 5
1.112659853138279E9 5
8.486317987913318E8 5
7.693487111582751E8 5
3.257050660604005E8 5
1.2018827914893606E9 5
1.511015035561326E9 5
2.757158348685437E8 5
3.624127861661384E8 5
1.938291642628621E8 5
8.642181119412091E8 5
7.148635293608857E8 5
4.500144933259729E8 5
1.4202306942384517E9 5
1.308394596806246E9 5
2.0223976097635636E9 5
4.994353407791617E8 5
6.081416695998409E8 5
7.869902496618453E8 5
3.64600324776157E8 5
1.2138651382630281E9 5
8.454293042105737E8 5
8.976696667619296E8 5
5.235063335289231E8 5
1.1527612296169236E9 5
2.383909602396216E9 5
2.6099194165921098E8 4
3.157420402929415E8 4
5.966153202099465E8 4
4.468389558149548E8 4
3.122115001401948E8 4
5.279144383759238E8 4
3.9758070819340897E8 4
3.030409804740686E8 4
3.785966923415783E8 4
3.085307374058667E8 4
4.1084470738315475E8 4
6.367899423197143E8 4
5.802122616938939E8 4
2.4989797045793924E8 4
1.8298766436568975E8 4
3.801143935673475E8 4
3.422214987641134E8 4
2.2756680750917923E8 4
4.4201124320707613E8 4
4.4770925925448686E8 4
2.921258852612718E8 4
3.739669585577968E8 4
4.216486711104011E8 4
1.9662987666696656E8 4
4.3048052711152816E8 4
4.653621997757167E8 4
4.0669802243075645E8 4
4.3017834662088746E8 4
4.344035396363014E8 4
4.1959295600248593E8 5
1.0430129998158443E9 5
3.653421472741141E8 5
5.772087807480965E8 5
2.0979527354563865E8 5
6.493736384519761E8 5
9.509556455752015E8 5
2.461339402761201E8 5
4.270447016244795E8 5
1.6337253296888074E8 5
4.745928892086018E8 5
5.3668283899320775E8 5
3.235727207881089E8 5
8.105160063732067E8 5
5.654022402680324E8 5
8.915506481996162E8 5
3.093410316242138E8 5
4.114682165190808E8 5
3.661802110203611E8 5
3.311409307404987E8 5
5.447127092920327E8 5
4.9539352666653347E8 5
7.200149136122131E8 5
2.7040921405208236E8 5
6.143721770011376E8 5
1.0587885232264556E9 5
5.280103836300968E7 4
5.98902247840557E7 4
9.870882982867785E7 4
1.1865306049867186E8 4
7.120816834580283E7 4
1.5310307940781465E8 4
9.032218531424603E7 4
6.0845051147852905E7 4
9.649388694822398E7 4
7.602255412909122E7 4
1.021120660210281E8 4
1.6198269987831333E8 4
1.2122743737916785E8 4
6.016224035892783E7 4
3.4117237889469475E7 4
8.809524333152604E7 4
7.431026294791225E7 4
7.208492192801988E7 4
1.655318641615841E8 4
1.5870160383380663E8 4
8.200056882512125E7 4
9.238988251972224E7 4
1.0985071242238776E8 4
5.196133489546E7 4
9.810649463075565E7 4
1.2998274456420097E8 4
4.997493831786506E7 4
9.961219912853977E7 4
8.860998041613182E7 4
1.1407975249762891E8 5
1.612702266645288E8 5
9.371826310073273E7 5
1.2559586080695006E8 5
5.744958228833611E7 5
1.6318167938357705E8 5
3.240858063535486E8 5
4.123313700690019E7 5
1.2159005564560765E8 5
2.8413130353573862E7 5
8.374985931886783E7 5
1.3823608324285385E8 5
6.453390129040842E7 5
1.3331947150205752E8 5
1.2458978782942714E8 5
2.4805049258821064E8 5
7.728121245503297E7 5
1.009765407112401E8 5
1.387710463296479E8 5
5.564007036476877E7 5
1.14357039487125E8 5
2.2538317726685888E8 5
1.079864751426005E8 5
6.516098121871559E7 5
1.1142137188023224E8 5
2.3837177472157726E8 5
8.297966759849422E7 4
9.715453441710234E7 4
1.8223262583364734E8 4
1.453035964515815E8 4
1.0679619654745483E8 4
1.4073358203433773E8 4
1.3401294005097702E8 4
9.436767755789885E7 4
1.134373662521514E8 4
1.0498970971287695E8 4
1.397891792158123E8 4
2.224832348533774E8 4
1.8057459192902654E8 4
8.65834815343826E7 4
5.714312428710751E7 4
1.2551746370379433E8 4
1.129295034437856E8 4
7.22480960754639E7 4
1.752780403371559E8 4
1.2839026089378497E8 4
1.0447657676896665E8 4
1.1508641789286663E8 4
1.477792637048999E8 4
6.909120935757212E7 4
1.4408437452652872E8 4
1.7064327634101596E8 4
1.0796576009270911E8 4
1.255065616553767E8 4
1.359392217582954E8 4
1.5127218791485453E8 5
3.101565621576382E8 5
1.3782921793431E8 5
1.8797957031180948E8 5
7.103372527352905E7 5
2.432580282243876E8 5
3.8337899140942305E8 5
7.613207739101045E7 5
1.5077558166090894E8 5
4.981177928620596E7 5
1.5080066911702016E8 5
1.7718816570019358E8 5
9.985716321551709E7 5
2.5435304075636032E8 5
2.0503997318434316E8 5
3.559328967430076E8 5
1.1390723619093011E8 5
1.2868094389026877E8 5
1.4561561305954015E8 5
1.0144527360000247E8 5
1.934039953935992E8 5
1.7651086131769845E8 5
2.160656686398695E8 5
9.881844124506485E7 5
2.0660417190963417E8 5
3.8032015473214746E8 5
1.349083135980423E8 4
1.5014805501704925E8 4
3.001364003990442E8 4
2.3675591394125032E8 4
1.4959720821756694E8 4
2.5773996833284792E8 4
2.230256924735902E8 4
1.3342000686237156E8 4
1.984704699088103E8 4
1.656192213655102E8 4
2.0393316848491603E8 4
3.4718685524406207E8 4
2.6397919901956835E8 4
1.2343356441762258E8 4
8.451621434669682E7 4
1.9178409630936074E8 4
1.7561244621217978E8 4
1.4846462084925982E8 4
2.5930478150904322E8 4
2.344390636253249E8 4
1.5689792954466912E8 4
1.625224814432178E8 4
2.2276681305635858E8 4
1.0705750703718369E8 4
1.8803252179896125E8 4
2.5212538622342986E8 4
1.6947441953291216E8 4
1.9597345245057943E8 4
1.9737881832863104E8 4
1.9400352503987113E8 5
3.071488501526389E8 5
1.0542031346133567E8 5
1.711482676627277E8 5
6.3858092032282285E7 5
1.918877608326125E8 5
4.225387734437947E8 5
7.00618968835712E7 5
1.841780743681224E8 5
4.560007729907037E7 5
1.122713293233282E8 5
1.7903892027601182E8 5
8.272921509995717E7 5
1.69196865277276E8 5
1.3197513045433275E8 5
2.6122066540212744E8 5
1.1507682407246725E8 5
1.2847016222482024E8 5
1.4394695688546285E8 5
9.82971446016005E7 5
1.4866860270640337E8 5
2.0373546045795825E8 5
1.7721441914608684E8 5
9.51077379583269E7 5
1.6320173243243495E8 5
2.285972762067732E8 5
1.3998450118367055E8 4
1.594383423997689E8 4
3.041813805168364E8 4
2.4548229138298786E8 4
1.6244015048514882E8 4
2.9168855134734225E8 4
2.3516303133023486E8 4
1.4262147576217714E8 4
2.1732410321565697E8 4
1.6930516353470433E8 4
2.2070111434113297E8 4
3.7372712746628726E8 4
2.8241261711065334E8 4
1.3420567986495374E8 4
9.118177038088433E7 4
2.0467336899954012E8 4
1.9397474616663802E8 4
1.613016797592615E8 4
2.900318313942117E8 4
2.5560525410532585E8 4
1.6652415468042845E8 4
1.816602898154618E8 4
2.44794559229145E8 4
1.117981241000931E8 4
1.9775030404306367E8 4
2.6727523861614802E8 4
1.7294945638375524E8 4
2.128120033016435E8 4
2.1010259920685253E8 4
1.980477061122603E8 5
3.0682207013128525E8 5
1.0430458882890707E8 5
1.6769012179086715E8 5
6.278457807858569E7 5
1.9017715567633313E8 5
4.2039217568173766E8 5
6.863192300939043E7 5
1.8217484308635005E8 5
4.4204554979106575E7 5
1.0853321409563375E8 5
1.7665531108096823E8 5
8.082045882611719E7 5
1.6475835357235056E8 5
1.2774919899915195E8 5
2.5818314572584242E8 5
1.126538866835316E8 5
1.2523578047097291E8 5
1.3996234273795187E8 5
9.438815105192068E7 5
1.4130623814939553E8 5
1.9763695252589372E8 5
1.718896805958076E8 5
8.857112682539478E7 5
1.5656680483343792E8 5
2.2328216699465933E8 5
8.003209896442E7 4
9.986065770575602E7 4
1.4776730561730975E8 4
1.9543649681920063E8 4
1.4309649465701187E8 4
1.8504826772005534E8 4
1.3664157907934198E8 4
1.1688997605852059E8 4
1.3577172927663025E8 4
1.2495793714795016E8 4
2.1855750815813592E8 4
2.843059868825562E8 4
2.067519742197444E8 4
1.1388974880660622E8 4
4.890429849689938E7 4
1.6618867436349964E8 4
1.2100813689704825E8 4
8.38739801784779E7 4
3.743544934752811E8 4
2.208987968091151E8 4
1.3218330982164265E8 4
1.480798591549191E8 4
2.161597624400504E8 4
1.0066757546996903E8 4
1.8245643992184556E8 4
2.6720220646302655E8 4
7.962252309554575E7 4
1.6044964097706535E8 4
1.6349389761806196E8 4
2.1806060210845515E8 5
3.2353803600690776E8 5
1.455768079181232E8 5
2.6795372150471163E8 5
8.809788473074906E7 5
2.724519896271361E8 5
6.147909234663651E8 5
8.915937967268105E7 5
2.5849715951413548E8 5
5.621588504834686E7 5
1.6303591029931593E8 5
2.5374340396061844E8 5
1.1731804149262044E8 5
2.584352655471098E8 5
2.005869678132222E8 5
4.102873921478417E8 5
1.0236629050358385E8 5
1.7418709079391128E8 5
1.8923809631009042E8 5
8.902605775600977E7 5
1.791140083755784E8 5
2.747620418457128E8 5
2.2335501544632757E8 5
8.740855478736478E7 5
1.8384546135243106E8 5
4.0266706919862777E8 5
1.540488125732822E8 4
1.719618036871985E8 4
3.5269493693599474E8 4
2.4593630003622845E8 4
1.3875495185440454E8 4
3.8134144652008504E8 4
2.124562759776519E8 4
1.484509049243466E8 4
2.3834893312150562E8 4
1.5919158003264812E8 4
1.8267720528489685E8 4
2.8623447774231756E8 4
2.8939588699605805E8 4
1.2775626705050616E8 4
1.045997150011275E8 4
1.7773278707652405E8 4
1.8410633128342313E8 4
1.7008274620897147E8 4
1.325848074018983E8 4
3.217967231474219E8 4
1.3831575725666672E8 4
1.9504620114744174E8 4
1.9086351512439623E8 4
1.0232639494644593E8 4
1.689680218248029E8 4
2.1483487332826772E8 4
2.3283640054995692E8 4
2.457525614394908E8 4
2.0484808045788532E8 4
2.3256369621594676E8 5
3.6083408283069694E8 5
1.9902633580516928E8 5
1.2203040471483625E8 5
5.883331782538882E7 5
1.6293999742026442E8 5
3.6660773017122287E8 5
6.014737041118675E7 5
1.2308174273628089E8 5
4.2270550067308836E7 5
1.5303775527550948E8 5
1.5898988238724232E8 5
7.089731544654194E7 5
3.200147376315365E8 5
1.1231726935874784E8 5
2.3954865102846354E8 5
1.2662191386679138E8 5
1.437905364280785E8 5
1.4124735176627097E8 5
1.0673545205835083E8 5
2.70325981647221E8 5
2.6393943267905423E8 5
1.7356952443404528E8 5
1.0323322581521271E8 5
2.903708183146302E8 5
1.836669936249673E8 5
1.4191151630555224E8 4
1.4654951591512835E8 4
2.9516554279216E8 4
2.4079943568514997E8 4
1.0942581778088309E8 4
4.954024302020275E8 4
1.6466694198639047E8 4
1.3567814142136523E8 4
2.749432394283644E8 4
1.2521848675989857E8 4
1.485347835809111E8 4
2.099667671542717E8 4
2.3020746703043824E8 4
1.2657301378049839E8 4
9.205158274567193E7 4
1.3562728778442764E8 4
1.3952903436936393E8 4
1.927549821945807E8 4
4.113990815952745E7 4
4.6610250689078504E8 4
1.219632411932824E8 4
2.0271101604394257E8 4
1.3414978110362704E8 4
8.084749896833023E7 4
1.5664938935786748E8 4
1.5686807203002253E8 4
1.9752262676047817E8 4
2.759562883420384E8 4
1.590801464204057E8 4
1.137377919659387E8 5
3.1463734280533034E8 5
1.7255222250592956E8 5
1.5611867841225812E8 5
1.0306771606570062E8 5
1.6212362606752554E8 5
2.719489689458791E8 5
6.6883917709722504E7 5
7.470176233565469E7 5
4.8761477603005E7 5
1.9240061946707088E8 5
2.3796652589945155E8 5
1.2505236196626483E8 5
2.9505709610975134E8 5
2.2103903174379113E8 5
2.671414674147432E8 5
1.1729241535020888E8 5
2.27950877083306E8 5
2.36770007425801E8 5
1.2147664838509844E8 5
2.723616943125657E8 5
4.0147121814522994E8 5
1.9919438284815848E8 5
1.540494756585923E8 5
2.600033480654144E8 5
3.7296397369957227E8 5
5.8053892227728575E7 4
7.787917179083134E7 4
1.2774622158858587E8 4
1.1091481090966028E8 4
8.587011366472577E7 4
1.3336088955028847E8 4
9.944130535186072E7 4
7.570645616112268E7 4
8.690633457606699E7 4
8.175882410591128E7 4
1.1950448576499417E8 4
1.762239246186641E8 4
1.6556972642392582E8 4
6.1176405061610505E7 4
4.5715278490822785E7 4
1.0551941691784108E8 4
9.55313640875992E7 4
5.371068873178364E7 4
1.825744675504757E8 4
1.0801504526754464E8 4
7.781073271207654E7 4
1.0724185713877161E8 4
1.2900329518142532E8 4
5.486188814643665E7 4
1.0383159446111624E8 4
1.4230963451721537E8 4
9.231425632173273E7 4
1.060508545844485E8 4
1.2086209971188816E8 4
1.2628095859221026E8 5
2.4335108413643733E8 5
